company_name,job_title,detail_url,employment_type,recruitment_count,location,job_field,description,career_level,education_level,skills,responsibilities,created_at
㈜우리기술,우리기술 SW개발/임베디드/PSD/영업/시스템 엔지니어 분야 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46743123?rPageCode=SL&logpath=21&sn=6&sc=611,"정규직계약직근무기간 12개월
                                
                                  , 추후 1년 연장 가능성",,"서울시 마포구,서울전지역,강남구,강서구,관악구,구로구,금천구,서대문구,양천구,영등포구,용산구,은평구,종로구,중구지도","중앙연구소 DS팀,중앙연구소 MS팀 (PMAS 개발자),중앙연구소 MS팀 (PSD 개발자),시스템사업부 영업팀,시스템사업부 사업팀 (사업1팀),시스템사업부 사업팀 (사업2팀)",,미리보기,즉시지원6일 전 등록~04/30(수),"C, C++, MySQL, Python, SQLite, Linux, CAD, Excel, PowerPoint, 2종보통운전면허, Microsoft Office, RTOS",,2025-04-14 00:20:22
김영일교육컨설팅㈜,"PHP , CI ( 프론트엔드 , 백엔드 ) 경력 정규직채용",https://www.jobkorea.co.kr/Recruit/GI_Read/46754322?rPageCode=SL&logpath=21&sn=6&sc=611,정규직,,서울시 강남구지도,"PHP , CI 웹 프로그래머",,미리보기,즉시지원6일 전 등록~05/07(수),"Ajax, CSS, HTML, MySQL, PHP, ci",,2025-04-14 00:20:31
AACT,[인천공항] AACT 화물터미널 각 부문 신입/경력 정규직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46743275?rPageCode=SL&logpath=21&sn=6&sc=611,"정규직수습3개월계약직근무기간 1년
                                정규직 전환가능",,"인천시 중구,인천전지역,계양구,미추홀구,남동구,동구,부평구,서구,연수구,경기도 김포시,부천시,시흥시지도","화물조업-검수(Checker),화물조업,지상조업 RAMP,보세사,조리사,기내청소팀,계약팀,조리사 (조식 담당),(마감)총무팀,(마감)수납카운터,장비관리,(마감)시설팀,시설팀 (기계설비),DMG CHECK,전산팀 (개발),항공기운송지원",,미리보기,즉시지원6일 전 등록~05/07(수),"C, JAVA, Javascript, Kotlin, React, Excel, OA, 무역영어, 영어, 영어작문, 영어회화, 1종보통운전면허, 2종보통운전면허, i-cube, 더존 프로그램, 보세사 자격, 자동차정비기능사 자격, 전기산업기사 자격, 지게차운전기능사 자격, 컴퓨터활용능력",,2025-04-14 00:20:39
㈜사회평론,프론트엔드 개발자/웹 디자이너 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46755581?rPageCode=SL&logpath=21&sn=6&sc=611,정규직계약직정규직 전환가능,,"서울시 마포구,강남구,관악구,용산구,서대문구,구로구,동대문구,서초구,양천구,종로구,금천구,동작구,영등포구,중구,서울전지역지도",프론트엔드 개발자/ 웹 디자이너,,미리보기,즉시지원6일 전 등록~04/20(일),,,2025-04-14 00:20:47
㈜퍼플아카데미,백엔드 개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/46744544?rPageCode=SL&logpath=21&sn=6&sc=611,정규직(수습 3개월)계약직(근무기간 12개월),1.0,서울 양천구,백엔드개발자,,미리보기,즉시지원04/04(금) 등록~05/07(수),,,2025-04-14 00:20:54
메가스터디교육㈜,E-BOOK 웹서비스 개발 및 운영 담당자,https://www.jobkorea.co.kr/Recruit/GI_Read/46739810?rPageCode=SL&logpath=21&sn=6&sc=611,정규직,0.0,"서울전지역, 강남구, 서초구, 송파구, 영등포구, 용산구",웹개발자,,미리보기,즉시지원04/04(금) 등록~04/18(금),,,2025-04-14 00:21:00
㈜안랩,AhnLab 그룹 전 직군 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46736403?rPageCode=SL&logpath=21&sn=6&sc=612,정규직,,경기도 성남시 분당구지도,,,미리보기,홈페이지 지원04/04(금) 등록~04/13(일),,,2025-04-14 00:21:08
㈜한싹,AI 솔루션 개발자 경력,https://www.jobkorea.co.kr/Recruit/GI_Read/46734883?rPageCode=SL&logpath=21&sn=6&sc=611,정규직,1.0,"경기 하남시, 서울 강동구, 광진구, 구로구, 금천구, 송파구",AI/ML엔지니어,,미리보기,즉시지원04/03(목) 등록~05/03(토),,,2025-04-14 00:21:16
㈜한싹,WEB 개발 (프론트) 경력,https://www.jobkorea.co.kr/Recruit/GI_Read/46734676?rPageCode=SL&logpath=21&sn=6&sc=611,정규직,1.0,"경기 하남시, 서울 강동구, 구로구, 금천구, 송파구",프론트엔드개발자,,미리보기,즉시지원04/03(목) 등록~05/03(토),,,2025-04-14 00:21:23
㈜웅진,"ERP개발(.NET,C#,VB.NET) 경력",https://www.jobkorea.co.kr/Recruit/GI_Read/46735422?rPageCode=SL&logpath=21&sn=6&sc=611,정규직,1.0,서울 중구,웹개발자,,미리보기,즉시지원04/03(목) 등록~05/02(금),,,2025-04-14 00:21:30
㈜한싹,WEB 개발 (백엔드) 경력,https://www.jobkorea.co.kr/Recruit/GI_Read/46734557?rPageCode=SL&logpath=21&sn=6&sc=611,정규직,1.0,"경기 하남시, 서울 강동구, 광진구, 구로구, 금천구, 송파구",백엔드개발자,,미리보기,즉시지원04/03(목) 등록~05/03(토),,,2025-04-14 00:21:37
현대오토에버㈜,스마트태그 / MES 시스템 개발 및 운영 (아산),https://www.jobkorea.co.kr/Recruit/GI_Read/46736616?rPageCode=SL&logpath=21&sn=6&sc=612,정규직,,충남 아산시지도,스마트태그 시스템 개발/운영_아산,,미리보기,홈페이지 지원04/03(목) 등록~04/30(수),JAVA,,2025-04-14 00:21:44
GS리테일,[GS리테일] DX본부 O4O DX팀 모바일앱 개발 신입사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46733078?rPageCode=SL&logpath=21&sn=6&sc=612,정규직,,서울시 강서구지도,,,미리보기,홈페이지 지원04/03(목) 등록~04/13(일),,,2025-04-14 00:21:51
