company_name,job_title,detail_url,employment_type,recruitment_count,location,job_field,description,career_level,education_level,created_at
알 수 없음,2025 KINX 인턴 및 경력채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46716642?rPageCode=SL&logpath=21&sn=6&sc=612,,,,,,미리보기,홈페이지 지원6일 전 등록~04/20(일),2025-04-13 00:37:28
알 수 없음,건설 전문 IT 기업 서우HR 골조 시공 전문가/도면 제작/서비스 기획자/PM/PO/풀스택 개발자 사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46737213?rPageCode=SL&logpath=21&sn=6&sc=611,,,,,,미리보기,즉시지원5일 전 등록~04/25(금),2025-04-13 00:37:31
알 수 없음,㈜에이아이더뉴트리진 AI 영업팀장 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46753262?rPageCode=SL&logpath=21&sn=6&sc=611,,,,,,미리보기,즉시지원5일 전 등록~04/30(수),2025-04-13 00:37:34
알 수 없음,우리기술 SW개발/임베디드/PSD/영업/시스템 엔지니어 분야 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46743123?rPageCode=SL&logpath=21&sn=6&sc=611,,,,,,미리보기,즉시지원5일 전 등록~04/30(수),2025-04-13 00:37:38
알 수 없음,"PHP , CI ( 프론트엔드 , 백엔드 ) 경력 정규직채용",https://www.jobkorea.co.kr/Recruit/GI_Read/46754322?rPageCode=SL&logpath=21&sn=6&sc=611,,,,,,미리보기,즉시지원5일 전 등록~05/07(수),2025-04-13 00:37:42
알 수 없음,[인천공항] AACT 화물터미널 각 부문 신입/경력 정규직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46743275?rPageCode=SL&logpath=21&sn=6&sc=611,,,,,,미리보기,즉시지원5일 전 등록~05/07(수),2025-04-13 00:37:47
알 수 없음,프론트엔드 개발자/웹 디자이너 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46755581?rPageCode=SL&logpath=21&sn=6&sc=611,,,,,,미리보기,즉시지원5일 전 등록~04/20(일),2025-04-13 00:37:50
알 수 없음,백엔드 개발자,https://www.jobkorea.co.kr/Recruit/GI_Read/46744544?rPageCode=SL&logpath=21&sn=6&sc=611,,,,,,미리보기,즉시지원04/04(금) 등록~05/07(수),2025-04-13 00:37:53
알 수 없음,E-BOOK 웹서비스 개발 및 운영 담당자,https://www.jobkorea.co.kr/Recruit/GI_Read/46739810?rPageCode=SL&logpath=21&sn=6&sc=611,,,,,,미리보기,즉시지원04/04(금) 등록~04/18(금),2025-04-13 00:37:56
알 수 없음,AhnLab 그룹 전 직군 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46736403?rPageCode=SL&logpath=21&sn=6&sc=612,,,,,,미리보기,홈페이지 지원04/04(금) 등록오늘마감,2025-04-13 00:38:00
알 수 없음,AI 솔루션 개발자 경력,https://www.jobkorea.co.kr/Recruit/GI_Read/46734883?rPageCode=SL&logpath=21&sn=6&sc=611,,,,,,미리보기,즉시지원04/03(목) 등록~05/03(토),2025-04-13 00:38:03
알 수 없음,WEB 개발 (프론트) 경력,https://www.jobkorea.co.kr/Recruit/GI_Read/46734676?rPageCode=SL&logpath=21&sn=6&sc=611,,,,,,미리보기,즉시지원04/03(목) 등록~05/03(토),2025-04-13 00:38:06
알 수 없음,WEB 개발 (백엔드) 경력,https://www.jobkorea.co.kr/Recruit/GI_Read/46734557?rPageCode=SL&logpath=21&sn=6&sc=611,,,,,,미리보기,즉시지원04/03(목) 등록~05/03(토),2025-04-13 00:38:09
알 수 없음,"ERP개발(.NET,C#,VB.NET) 경력",https://www.jobkorea.co.kr/Recruit/GI_Read/46735422?rPageCode=SL&logpath=21&sn=6&sc=611,,,,,,미리보기,즉시지원04/03(목) 등록~05/02(금),2025-04-13 00:38:13
알 수 없음,스마트태그 / MES 시스템 개발 및 운영 (아산),https://www.jobkorea.co.kr/Recruit/GI_Read/46736616?rPageCode=SL&logpath=21&sn=6&sc=612,,,,,,미리보기,홈페이지 지원04/03(목) 등록~04/30(수),2025-04-13 00:38:17
알 수 없음,[GS리테일] DX본부 O4O DX팀 모바일앱 개발 신입사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46733078?rPageCode=SL&logpath=21&sn=6&sc=612,,,,,,미리보기,홈페이지 지원04/03(목) 등록오늘마감,2025-04-13 00:38:20
알 수 없음,미디어로그(LG그룹) 개발자 신입/경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46727590?rPageCode=SL&logpath=21&sn=6&sc=611,,,,,,미리보기,즉시지원04/03(목) 등록내일마감,2025-04-13 00:38:24
